id,店名,ビル,階,区画,判定,業種,営業時間,定休日,予算,タグ,電話,公式サイト,別名,出典,確認日,メモ
b1-B2-71a900,spice32,1,B2,30,採用,,"11:00-15:00,17:00-22:00",日,ディナー1000-2000,ランチあり,06-6341-8900,,spice32 大阪駅前第1ビル店|辛口料理スズメバチ,https://www.hotpepper.jp/strJ001262424/,2026-09-23,平日の時間。土11:00-17:00。旧店名 辛口料理スズメバチ
b1-B2-b872ce,呑み処 大阪梅田 ブラウン,1,B2,32,一部,,,,,喫煙可|立ち飲み,050-5489-2419,https://ke8n508.gorp.jp/,呑処 大阪梅田 ブラウン,https://www.hotpepper.jp/strJ003763785/,2026-09-23,焼肉「鬼に金棒」系列。営業時間・定休日は見つからず
b1-B2-8182c4,立ち飲み処 和,1,B2,33,一部,,,,~1000,喫煙可|ランチあり,,,立飲み処 和,https://retty.me/area/PRE27/ARE89/SUB8901/100000057164/,2026-09-23,営業時間・定休日は見つからず。しめ鯖＋酎ハイで720円ほど、ランチ700円ほどという口コミ
b1-B2-564412,幸せ立ち飲み 夢じゃら,1,B2,34,要確認,,,,,,,,,,2026-09-23,ネットでは第1ビルB2に「幸せ立ち呑み 夢ごりら」（14:00-23:00・日休）が出るが、うちの店名は「夢じゃら」。同じ店か別の店か分からないので付けていない
b1-B2-18831b,うどん店 たかはた,1,B2,35,要確認,,,,,,,,,,2026-09-23,第1ビルB2に「たかはた」が2店（B2-35 うどん店／B2-63 手打ちうどんの店）。検索結果（9:30-21:00・日祝休・カウンターのみ）がどちらの店か区別できない
b1-B2-00d8b3,酒処 あかね,1,B2,36,採用,,15:00-23:00,,,禁煙,,,,https://www.1bld.com/shopguide/gourmet/10191/index.html,2026-09-23,定休日なし。禁煙は英語版グルメサイトの表記なので要確認。おばんざい・焼魚
b1-B2-d1ffb4,TAKOYAKI & BAR POULPE,1,B2,38,採用,,16:00-23:00,月,,禁煙|予約可,06-6147-3379,https://takoyaki-poulpe.com/,Takoyaki & Bar Poulpe|プルプ,https://takoyaki-poulpe.com/access/,2026-09-23,火〜金の時間。土14:00-23:00、日・祝12:00-22:00。月が祝日なら営業し翌火休み
b1-B2-fe72a7,お酒の美術館,1,B2,39,要確認,,,,,,,,,,2026-09-23,「お酒の美術館 大阪駅前第1ビル店」は1F店が2025-02-28閉店。B2の店（2024-02-22開店の告知あり）とどちらの情報か区別できないので付けていない
b1-B2-229b86,夢ごりら,1,B2,40,採用,,14:00-23:00,日,ディナー1000-2000,立ち飲み,,,幸せ立ち呑み 夢ごりら,https://retty.me/area/PRE27/ARE89/SUB8901/100001586861/,2026-09-23,平日の時間。土14:00-21:00。水曜も休みとする情報源あり（要確認）。造り3種盛り500円
b1-B2-8ef2d0,カレーショップ ミクロ,1,B2,41,採用,,11:00-19:00,日,ランチ1000~,カウンターのみ|ランチあり,06-6346-0396,,,https://gourmet.tsuku2.jp/shop/0000201554/review,2026-09-23,閉店は19:00と20:30で情報源に差。カウンター7席
b1-B2-c1460e,つかさや,1,B2,42,見送り,,,,,,,,,,2026-09-23,確かな情報が見つからず（食べログの「つかさ屋」は東梅田の別店）
b1-B2-7ea94c,17時のシアワセ,1,B2,44,採用,立ち飲み,17:00-22:00,火|日,ディナー~3000,立ち飲み|禁煙,,https://www.instagram.com/17jinoshiawase/,,https://tabelog.com/en/osaka/A2701/A270101/27132917/,2026-09-23,月・水〜金の時間。土16:00-21:00、祝16:00-22:00。昼はうどん屋（つるつる庵、同じB2-44）で17時から立ち飲みになる
b1-B2-918fc9,そば・うどん・めん処 つるつる庵,1,B2,44,採用,,8:00-19:30,,~500,ランチあり,,,つるつる庵 第1ビル店,https://www.1bld.com/shopguide/gourmet/10101/index.html,2026-09-23,平日の時間。土8:00-16:30。不定休。17時以降は同じ区画で「17時のシアワセ」が営業
b1-B2-96310d,彦寿司,1,B2,45,採用,,11:00-21:00,日|祝,ランチ~1000,ランチあり|喫煙可,06-6341-3319,,,https://retty.me/area/PRE27/ARE89/SUB8901/100000196766/,2026-09-23,ランチは15時まで。握り1人前700円・1.5人前1000円。カウンターで喫煙可
b1-B2-c7f093,スタンド割烹 若桜,1,B2,46,採用,,"11:50-13:30,18:00-23:00",日|祝,ランチ1500-3000/ディナー10000~,ランチあり,,,若桜,https://retty.me/area/PRE27/ARE89/SUB8901/100000817125/,2026-09-23,第2・第3土曜も休み。喫煙は禁煙/分煙で情報源が割れる。ブログに「地下1階」表記あり（うちはB2-46）
b1-B2-3d6196,寿司 まぐろ一徹,1,B2,47,採用,,"11:00-14:30,16:30-23:00",,,立ち飲み|ランチあり,06-6348-2424,https://kepg100.gorp.jp/,立ち寿司 まぐろ一徹 大阪梅田第1ビル店,https://www.enjoytokyo.jp/spot/g_kepg100/,2026-09-23,月〜土の時間。日祝11:30-22:00。立ち寿司。1貫88円〜
b1-B2-63858f,中華料理 金明飯店 3号店,1,B2,48,採用,,11:00-23:30,,ディナー3600~,ランチあり,,https://kdth403.gorp.jp/,金明飯店 3号店|食べ飲み放題中華 金明飯店 3号店,https://retty.me/area/PRE27/ARE89/SUB8901/100001281643/,2026-09-23,"定休日なし。140種食べ飲み放題コース3,800円〜"
b1-B2-a9c0fc,らーめんやまちゃん イッちゃん,1,B2,49,採用,,"11:00-15:30,17:00-21:00",,,ランチあり,,https://www.instagram.com/ra.yama.iti/,らーめん やまちゃん イッちゃん店,https://ramendb.supleks.jp/s/166288.html,2026-09-23,平日の時間。土日祝は夜が20:30まで。不定休
b1-B2-186d30,ちょっとした料理とおばんざい ふらん,1,B2,50,採用,,"11:30-14:00,17:00-22:00",日,ランチ~1000/ディナー2000-3000,ランチあり|禁煙|一人OK,06-6476-8839,,ふらん,https://tabelog.com/osaka/A2701/A270101/27125291/dtlrvwlst/?type=0,2026-09-23,全面禁煙。カウンター中心。全日本一人呑み協会の掲載店
b1-B2-b54d35,SALON de SUEHIRO,1,B2,51,見送り,,,,,,,,,,2026-09-23,検索で見つからず
b1-B2-f069b6,銀座屋,1,B2,52,採用,,14:00-23:00,日,~2000,立ち飲み|一人OK|行列,,,,https://map.yahoo.co.jp/v3/place/8BmPwMgzeGo,2026-09-23,平日の時間。土14:00-22:00。赤星（サッポロラガー）の聖地として有名。行列ができる
b1-B2-1685d1,お好み焼き・どろ焼き酒場 鳴風,1,B2,53,一部,,,,ランチ~1100,カウンターのみ|ランチあり,,https://nanpuu.co.jp/store/osaka-daiichi-building/,喃風どろ焼き酒場 大阪駅前第一ビル店|喃風,https://nanpuu.co.jp/store/osaka-daiichi-building/,2026-09-23,"公式の表記は「喃風」（うちは「鳴風」）。カウンター13席。昼はどろ焼き&おでん定食1,080円。営業時間は見つからず"
b1-B2-fd59a9,大衆酒場 酒房 吉豊,1,B2,53,一部,,16:30-22:30,,,喫煙可,,,吉豊,https://www.1bld.com/shopguide/gourmet/10201/index.html,2026-09-23,「月-金 16:30-22:30」の記載のみ。土日の営業と定休日は不明。中ジョッキ280円
b1-B2-d562f2,喫茶・軽食 フルール,1,B2,54,一部,,,,,喫煙可,,,フルール,https://retty.me/area/PRE27/ARE89/SUB8901/100001229705/,2026-09-23,全席喫煙可。朝早くから開いているとの口コミ。営業時間・定休日は見つからず
b1-B2-85e20b,徳田酒店,1,B2,61,採用,,14:00-23:00,,~2000,喫煙可,06-6343-0666,,徳田酒店 西梅田店|お肉のおいしい立ち呑み屋 徳田酒店,https://www.1bld.com/shopguide/gourmet/10631/index.html,2026-09-23,日祝は14:00-22:00。年中無休。全面喫煙可
b1-B2-2afad0,酒菜や いしもん 西対（にしのつい）,1,B2,62,要確認,,,,,,,,,,2026-09-23,第1ビルB2に「いしもん」が3店（西対B2-62／対屋B2-72／無印B2-79）。検索結果（平日17:00-24:00）は本店か対屋のものと混ざっていて区別できない
b1-B2-7d8538,手打ちうどんの店 たかはた,1,B2,63,採用,,9:30-21:00,日|祝,~1000,ランチあり,06-6341-9210,,,https://udondb.supleks.jp/s/56293.html,2026-09-23,「手打ちうどんの店 たかはた」名義のページから。閉店は21:00と22:00で情報源に差。同じB2にもう1店（B2-35 うどん店 たかはた）あり。親子丼490円
b1-B2-dfe3d1,屋台餃子,1,B2,66,採用,,16:30-22:30,日,ディナー1000-2000,,06-6147-2468,,屋台餃子 大阪駅前第1ビル|大阪駅前第１ビル屋台餃子,https://www.hotpepper.jp/strJ001255182/,2026-09-23,
b1-B2-20d84a,立呑パーラー 西澤商店,1,B2,68,一部,,,日,,,,https://www.instagram.com/nishizawa_shoten/,立呑パーラー西澤商店,https://asayama.info/?p=2960,2026-09-23,asayama.infoで区画68と一致。確認できたのは「月曜17:00-22:30・日曜休み」だけなので営業時間は入れていない。市場の青果店がやっている立ち飲み・生しぼりサワー
b1-B2-822fa9,大衆酒場 マルリキ,1,B2,69,一部,,,,ディナー2000-3000,喫煙可,,,大衆酒場 マルリキ 大阪駅前第1ビル店,https://www.hotpepper.jp/strJ004213005/,2026-09-23,営業時間・定休日は見つからず。第2ビルにも店あり
b1-B2-351035,CRAFTROOM,1,B2,70,採用,,16:00-24:00,日,,,06-6341-8601,https://craft-room.jp/,クラフトルーム,https://www.timeout.jp/osaka/ja/%E3%83%90%E3%83%BC/craftroom,2026-09-23,所在地がB2-70で一致。現在はモクテル（ノンアルコール）専門とのこと
b1-B2-db0e32,鮪人 まぐろんちゅ,1,B2,71,一部,,,,,ランチあり,,,鮪人,https://www.1bld.com/shopguide/gourmet/10913/index.html,2026-09-23,11:30からランチ営業。閉店時刻・定休日は見つからず。西天満に同名店があり、予算の情報はどちらのものか区別できないので入れていない
b1-B2-fb643a,酒菜や いしもん 対屋,1,B2,72,採用,,17:00-24:00,,ディナー~5000,カード可,06-4795-8558,,いしもん 対屋,https://www.hotpepper.jp/strJ001268359/,2026-09-23,平日・祝前日の時間。土日祝16:00-23:00。不定休。18席
b1-B2-bcab12,立ち飲み 庶民,1,B2,73,採用,,11:00-21:15,,ディナー~1500,禁煙,,https://www.tachinomishomin.net/,立ち呑み庶民 大阪駅前第1ビル店,https://retty.me/area/PRE27/ARE89/SUB8901/100001688725/,2026-09-23,定休日は「月曜」と「不定休」で情報源が割れるので入れていない。ドリンク250〜300円
b1-B2-f1daa8,お好み焼 とみや,1,B2,74,採用,,"11:30-14:00,17:00-23:00",日|祝,2000-3000,ランチあり,,,お好み焼き とみや 大阪駅前第1ビル店,https://www.1bld.com/shopguide/gourmet/10091/index.html,2026-09-23,平日の時間。土は夜が21:00まで。30席。創業50年以上
b1-B2-9615bb,新世界串かつ いっとく 大阪駅前第1ビル店,1,B2,75,採用,,17:00-23:00,,,喫煙可,06-6341-9499,https://kushikatsuittoku.com/store/,新世界 串カツ いっとく 大阪駅前第1ビル店,https://www.1bld.com/shopguide/gourmet/10905/index.html,2026-09-23,"平日の時間。土日祝11:00-23:00。串カツ1本90円〜・食べ放題2,068円〜"
b1-B2-df1477,愉快酒場,1,B2,78,一部,,,,~2000,,050-5486-9967,https://www.yukai-sakaba.com/shop/%E5%A4%A7%E9%98%AA%E9%A7%85%E5%89%8D%E7%AC%AC1%E3%83%93%E3%83%AB%E5%BA%97,愉快酒場 大阪駅前第1ビル店,https://www.hotpepper.jp/strJ000448595/,2026-09-23,"ラストオーダー22:15のみ分かり、開店時刻は不明。休みは年末年始のみ。平均予算2,000円"
b1-B2-2e93bf,酒菜や いしもん,1,B2,79,採用,,17:00-23:30,,2000-3000,喫煙可,,https://kd2p800.gorp.jp/,酒菜や いしもん 本店|いしもん 本店,https://www.hotpepper.jp/strJ001106290/,2026-09-23,名前に支店名が無いこの店を「本店」と判断。月〜木の時間。金17:00-24:00、土16:00-23:00、日15:00-22:00。不定休
b1-B2-495e13,la sow,1,B2,80,見送り,,,,,,,,,,2026-09-23,食べログに「la sow（北新地/イタリアン・ワインバー）」はあるが営業時間などは見つからず
b1-B2-59419b,串揚げ たぬき,1,B2,82,一部,,,,,喫煙可,,,起世,https://asayama.info/?p=527,2026-09-23,旧店名「起世」。串カツ5本セット600円〜。営業時間・定休日は見つからず
b1-B2-9c5bc8,インド料理 ミラ,1,B2,83,採用,,"11:30-15:00,17:30-22:00",,1000-2000,ランチあり,,https://k085000.gorp.jp/,インドレストラン ミラ|MEERA,https://r.gnavi.co.jp/k085000/,2026-09-23,休みは年末年始のみ。62席。食べ飲み放題コースあり
b1-B2-16ae5e,立ち飲みワイン 立ちぶどう千本,1,B2,84,採用,,17:00-23:30,日,ディナー1000-2000,,,,立ちぶどう 千本|C'est bon,https://retty.me/area/PRE27/ARE89/SUB8901/100000699975/,2026-09-23,ワイン1杯250円〜。19時までハッピーアワー
b1-B1-55cde7,今井きしょう,1,B1,03,一部,,,,ディナー5000-6000,予約可,06-6342-4308,http://www.imai-kishou.com/,四季の味 今井きしょう,https://www.hotpepper.jp/strJ001034278/,2026-09-23,"営業時間は古い時短営業の情報しか出ないので入れていない。飲み放題コース3,850円〜"
b1-B1-9eb20a,うどん・そば・食事処 三起,1,B1,04,採用,,11:00-22:00,,,ランチあり,,,うどん・そば・食事処 三紀|三紀,https://www.1bld.com/shopguide/gourmet/10321/index.html,2026-09-23,公式の表記は「三紀」（うちは「三起」）。平日の時間。土11:00-16:00。定休日の記載なし
b1-B1-90ad49,すしのくち スタンド酒場,1,B1,05,見送り,,,,,,,,,,2026-09-23,第1ビルB1にあることしか分からず
b1-B1-fe56bd,スパイスカレー Roche（ロシュ）,1,B1,07,採用,,"11:00-15:00,17:00-20:00",日,~1000,ランチあり|カウンターのみ,,,スパイスカレー Roche|ロシュ,https://www.1bld.com/shopguide/gourmet/10917/index.html,2026-09-23,カウンター10席。チキン800円・ビーフ850円
b1-B1-4df316,サカバ第1,1,B1,08,採用,,15:00-23:00,火|祝,3000-4000,予約可,,,,https://www.hotpepper.jp/strJ003916022/,2026-09-23,月・水〜土の時間。日15:00-22:00
b1-B1-c316af,Indian Restaurant Khajuraho,1,B1,11,一部,,,,,一人OK,06-6341-0333,,インド料理居酒屋 カジュラホ|Indian & Izakaya Kajuraho,https://tabelog.com/en/osaka/A2701/A270101/27139438/,2026-09-23,駅前ビルの「MAHARAJA」の移転先。70席。ドリンク99円〜。営業時間・定休日は見つからず
b1-B1-47a4e8,ホリーズカフェ,1,B1,13,採用,,7:30-21:00,,,禁煙,,https://hollys-corp.jp/shop/o_daiichibi/,ホリーズカフェ 大阪駅前第1ビル店,https://hollys-corp.jp/shop/o_daiichibi/,2026-09-23,平日の時間。土日祝8:00-21:00。不定休。全席禁煙
b1-B1-678ef6,ルーズベルトBeer 食堂,1,B1,14,一部,,,,2000-3000,立ち飲み|喫煙可,,,ルーズベルトbeer食堂|ルーズベルト食堂,https://tabelog.com/osaka/A2701/A270101/27154798/dtlrvwlst/B523959944/,2026-09-23,京橋「リンカーン食堂」系列の新店。クラフトビール350円・アテ190〜590円。営業時間・定休日は見つからず
b1-B1-bf0348,良心的大衆酒場 鶴亀八番,1,B1,14,採用,,11:30-23:30,,,,,https://k949127.gorp.jp/,良心的大衆酒場 鶴亀八番 大阪駅前第1ビル店,https://www.hotpepper.jp/strJ004661014/,2026-09-23,2026-07-22開店。平日の時間。土日祝15:30-23:30。定休日の記載なし。ハイボール・サワー209円
b1-B1-927e99,海鮮屋オカピ,1,B1,15,採用,,15:00-23:00,日,3000-4000,喫煙可,06-6131-7030,,海鮮串オカピ|おさかな屋オカピ,https://www.hotpepper.jp/strJ004193645/,2026-09-23,ネットでは「海鮮串オカピ」「おさかな屋オカピ」表記。土・祝14:00-23:00。市場の鮮魚仲卸直営
b1-B1-c3ca6c,どんがめ,1,B1,16,採用,,11:30-23:30,,1000-4000,,,https://ke7u706.gorp.jp/,大衆酒場 どんがめ 大阪駅前第1ビル店,https://hitosara.com/0031720872/,2026-09-23,月〜土の時間。日祝11:30-23:00。年中無休
b1-B1-676926,湯浅港,1,B1,25,採用,,"11:00-14:00,16:00-23:00",日|祝,,喫煙可|予約可,06-6346-7576,https://yuasakou.com/,居酒屋 湯浅港|地魚料理 湯浅港,https://www.1bld.com/shopguide/gourmet/10901/index.html,2026-09-23,平日の時間。土15:00-22:30。しけで漁が無い日は休み。和歌山湯浅の地魚を直送
b1-B1-06843d,萬願亭,1,B1,31,採用,,"11:30-13:30,17:30-23:00",土|日|祝,ランチ~1000/ディナー3000-4000,喫煙可|行列,,https://mangantei.foodre.jp/,,https://www.1bld.com/shopguide/gourmet/10562/index.html,2026-09-23,ワンコインランチ（500〜600円）に行列。32席・カウンターなし
b1-B1-653c51,北野,1,B1,33,採用,,11:00-23:00,日|祝,ランチ~1000/ディナー2000-3000,喫煙可,,https://izakaya-kitano.owst.jp/,居酒屋 北野,https://www.hotpepper.jp/strJ003599116/,2026-09-23,平日の時間。土17:00-21:00
b1-B1-cfe7a7,スタンドカレー ワタナベ,1,B1,34,採用,,"11:30-15:30,18:00-20:00",土|日|祝,~1000,,070-1802-4442,https://www.instagram.com/standcurrywatanabe/,スタンドカレーワタナベ,https://1bld.com/shopguide/gourmet/10920/index.html,2026-09-23,時刻はラストオーダー（閉店はもう少し後）。ビブグルマン「渡邊咖喱」の4号店。不定休あり
b1-B1-c81489,ドトール,1,B1,35,採用,,7:30-21:00,,,禁煙,06-6341-6221,https://shop.doutor.co.jp/doutor/spot/detail?code=2011829,ドトールコーヒーショップ 大阪駅前第一ビル店,https://shop.doutor.co.jp/doutor/spot/detail?code=2011829,2026-09-23,平日の時間。土8:00-21:00、日祝8:00-20:00。1/1〜1/3休み。106席・電源とWi-Fiあり
b1-B1-db4a30,ロシア料理 モスクワ プリュス シェミ,1,B1,38,採用,,"11:45-14:00,18:00-22:00",月|火,ランチ~1000/ディナー3000-4000,,06-6345-9206,https://mockba7.com/kitchen/,MOCKBA+7|モスクワプリュスシェミ,https://www.hotpepper.jp/strJ000978813/,2026-09-23,ロシア・ウクライナ・ジョージア・中央アジアの料理
b1-B1-26cff2,マヅラ ジョニーウォーカー,1,B1,40,採用,,17:00-23:00,日|祝,,,06-6345-3400,https://www.threads.com/@madura_umeda,BARマヅラジョニーウォーカー,https://suocca.net/mazurajoniuoka/,2026-09-23,喫茶マヅラ（B1-41）と同じ経営。電話は共通
b1-B1-20bd5a,喫茶 マヅラ,1,B1,41,採用,,9:00-21:00,日|祝,,喫煙可,06-6345-3400,https://www.threads.com/@madura_umeda,マヅラ|マヅラ喫茶店,https://www.1bld.com/shopguide/gourmet/10361/index.html,2026-09-23,平日の時間。土9:00-18:00。開店8:30とする情報もあり。モーニング400円。4人席を1人で使うと500円のチャージ
b1-B1-e73745,シャーロックホームズ 大阪ダーツ協会,1,B1,42,採用,,"11:00-14:00,17:00-23:00",月,,,06-6344-4869,http://pub-sherlock.com/,英国パブ シャーロックホームズ,https://www.1bld.com/shopguide/gourmet/10281/index.html,2026-09-23,火〜金の時間。土祝11:00-23:00、日11:00-17:00。英国流ダーツ
b1-B1-8725f2,キング オブ キングス,1,B1,44,採用,,12:00-22:30,日|祝,ランチ~1000/ディナー2000-3000,喫煙可,,https://kingofkingsosaka.foodre.jp/,King of Kings,https://www.hotpepper.jp/strJ000798904/,2026-09-23,1970年開店、マヅラの姉妹店。70席。平日17時以降は1品200円アップ
b1-B1-c881fe,賢人ーかしこびとー,1,B1,46,一部,,,,,禁煙,06-6225-7834,https://www.facebook.com/kashikobito/,賢人-かしこびと-|賢人,https://tabelog.com/en/osaka/A2701/A270101/27091411/,2026-09-23,純米にごり酒専門（約50種）。4名以上は原則お断り。営業時間・定休日は見つからず
b1-B1-2313e2,北北新地,1,B1,50,採用,,16:00-23:00,,,,06-6343-5519,,串かつ専門店 北北新地,https://www.1bld.com/shopguide/gourmet/10371/index.html,2026-09-23,定休日の記載なし。串80円〜・串カツ膳850円
b2-B2-cc7d80,モスバーガー 大阪駅前第2ビル店,2,B2,3,一部,,,,,,,https://www.mos.jp/shop/detail/?shop_cd=01739,モスバーガー大阪駅前第2ビル店,https://www.mos.jp/shop/detail/?shop_cd=01739,2026-09-23,年中無休。営業時間は情報源で食い違う（7:30-22:00 / 8:00-21:30 など）ので入れていない。公式ページで要確認
b2-B2-9f0c4f,コーヒー＆バー パイルドライバー,2,B2,4,採用,,12:30-23:00,日,~1000,喫煙可,06-6341-6110,,パイルドライバー|Pile Driver,https://loco.yahoo.co.jp/place/g-kQPgEHCBO3U/,2026-09-23,昼は喫茶、夜はバー
b2-B2-4a09ae,チャーシューエッグ ポルコ食堂 ビールとはいぼーる,2,B2,6-2,一部,,,日,ランチ~1000,ランチあり|カウンターのみ,06-6459-7735,https://www.instagram.com/porco_29/,ポルコ食堂,https://tabelog.com/osaka/A2701/A270101/27144422/dtlrvwlst/?type=0,2026-09-23,"昼11:00-15:00はチャーシューエッグ定食（1,000円）。夜は「ビールとはいぼーる」として営業するが時間が分からないので営業時間は入れていない（入れると夜が「時間外」になるため）。カウンター10席。2024-09-03開店"
b2-B2-36665c,水産卸売直営酒処 花神 2ビル市場,2,B2,7-1,一部,,,,,禁煙,,,花神 第2ビル市場店|花神 第2ビル市場,https://retty.me/area/PRE27/ARE89/SUB8901/100001747800/,2026-09-23,水産会社直営。ちょい飲みセット888円。営業時間・定休日は見つからず
b2-B2-742139,半立ちダイニングバー MIYA,2,B2,7-2,採用,,13:00-22:30,日|祝,3000-4000,分煙|立ち飲み,,,半立ちダイニングバー MIyA,https://tabelog.com/en/osaka/A2701/A270101/27134960/,2026-09-23,開店は10:00とする情報もあり。分煙は加熱式たばこのみ。半分立ち飲み
b2-B2-3beb28,立ち呑み みねこ,2,B2,11,採用,,16:00-23:00,日,2000-3000,喫煙可|予約可,,,,https://www.hotpepper.jp/strJ003806080/,2026-09-23,asayama.infoで区画11と一致。2023年5月開店。椅子もあり
b2-B2-91b3a7,横浜家系ラーメン 梅田屋,2,B2,12-2,採用,,11:00-22:30,,,,050-3557-7900,,横浜家系ラーメン 梅田家|梅田家,https://ramendb.supleks.jp/s/93041.html,2026-09-23,ネットの表記は「梅田家」（うちは「梅田屋」）。平日の時間。土11:30-22:30、日祝11:00-19:30。無休
b2-B2-6c85d2,串カツ でんがな,2,B2,18,一部,,,,ランチ~1000/ディナー2000-3000,喫煙可|予約可,06-6343-1878,https://stores.dengana.jp/detail/3895/,串かつ でんがな 大阪駅前第2ビル店,https://stores.dengana.jp/detail/3895/,2026-09-23,年中無休。営業時間は公式ページにあるが検索結果に出ず
b2-B2-29e446,立呑み 梅田 パープル,2,B2,19-1-2,見送り,,,,,,,,,,2026-09-23,検索で見つからず
